round,client_id,loss,rmse,r2,mae,mape,model_type
1,8,0.013355235569179058,89.56276245846188,0.18377848014199358,71.46626256907905,40.70272668906746,client
1,9,0.021613765507936478,127.16901943622568,0.20840767616846212,109.08517982988019,367269.9096827374,client
1,3,0.031165877357125282,134.34587558760086,0.18199928046559502,105.3610957133721,74.02884177634841,client
1,2,0.025349760428071022,120.20814058074069,0.06662702048975683,102.62283830023253,70590878.5364221,client
1,5,0.020736219361424446,113.04059680091468,0.1825830056948794,99.8775655899237,948074.6851661989,client
1,7,0.01804129034280777,80.85935948648714,0.006700713321485789,69.76273496419878,46.51627508129227,client
1,10,0.03576364740729332,131.81161715893091,0.17859888407677896,121.61508885561432,42990193.3869486,client
1,4,0.011778882704675198,95.5068934913923,0.2007073102625527,76.86946392850565,37.78254457599638,client
1,6,0.012902189046144485,74.96794908904837,0.18740186596817013,62.227137270307715,46.77027442812347,client
1,1,0.01729564741253853,150.84531300002166,0.04269342282284105,132.16806648832696,153.77010585112524,client
1,global,0.02080025151371956,111.83175270898244,0.14394976594125158,95.1055433509441,11489681.608898805,global
2,4,0.00161300553008914,35.34277097760315,0.8905330175332294,26.546370970614067,11.471375842197261,client
2,10,0.0031917111482471228,39.37717613144904,0.9266975930032798,28.411768381101414,7893503.389148771,client
2,1,0.002083379775285721,52.35373167398859,0.8846910368377322,38.36284240602321,30.244745489085865,client
2,8,0.0027882629074156284,40.92310391343867,0.8295734630919452,29.29356900788254,16.85966817388953,client
2,5,0.002720108488574624,40.94140694897861,0.892762825081065,30.174474185516925,978419.5433143523,client
2,3,0.003660989459604025,46.045150244246486,0.9039051612458363,34.16012444187409,21.695935809960837,client
2,6,0.0026408324483782053,33.91676052410671,0.8336596475909603,23.66100015038592,14.13147974109814,client
2,2,0.0020003709942102432,33.76775714617205,0.9263467333104737,27.954811377167573,12884924.590795271,client
2,7,0.002210944192484021,28.306448259430514,0.8782450582235944,21.236654632194767,13.05159470481844,client
2,9,0.003497753059491515,51.15766158094019,0.8718844769626005,35.909869967946925,71851.6012088023,client
2,global,0.0026407358003780247,40.2131967400354,0.8838299012880718,29.571148552070742,2182880.657926696,global
3,4,0.0014214131515473127,33.17743664696846,0.903535000290497,24.78414282392699,10.730372328098738,client
3,5,0.0023463640827685595,38.02483648391087,0.9074964669984097,27.464464974859972,968531.1254915388,client
3,1,0.001812913571484387,48.83733673796411,0.8996608693800057,34.90622791620818,24.792718338403283,client
3,10,0.0026619075797498226,35.960793247929594,0.9388656121392357,24.642350800414455,5432082.710376914,client
3,3,0.0031543816439807415,42.740714046330474,0.9172024356743642,30.87113137068997,19.660028204709466,client
3,2,0.001567467930726707,29.891401681821716,0.9422861344960224,23.67086042563246,8835405.303652888,client
3,7,0.0019529794808477163,26.603901261556658,0.892449914271234,19.76132751361602,11.83554041584782,client
3,9,0.0031775683164596558,48.759984825348155,0.8836117141206343,33.61177981209985,51814.75050719948,client
3,6,0.0023739859461784363,32.15755351355567,0.850467052593676,22.20626463712293,13.05432078048541,client
3,8,0.0025635671336203814,39.23955365184874,0.8433069477788727,27.941470056783633,16.282026707099845,client
3,global,0.002303254883736372,37.53935120972345,0.897888214774295,26.986002033135446,1528793.0245035314,global
4,4,0.001341397874057293,32.23008700265481,0.9089651767959964,24.012531391607972,10.376885841501524,client
4,8,0.002476937137544155,38.570848972715304,0.8486019661007832,27.40656521172728,16.032999226827815,client
4,6,0.002257069107145071,31.35569015748888,0.8578312324321486,21.55620816612131,12.555466017957965,client
4,10,0.002445866819471121,34.47062610848439,0.9438274022205043,22.989326954446014,4292257.576892394,client
4,1,0.0016994265606626868,47.28404491823925,0.9059421275622984,33.349502249967614,22.30943965048658,client
4,9,0.0030409814789891243,47.700506310847864,0.8886145198971721,32.56065203995045,42548.21271966688,client
4,3,0.0029610982164740562,41.41055621082415,0.9222757552227819,29.498500659105336,18.74327613330161,client
4,5,0.0021729813888669014,36.592969763242884,0.9143316052175066,26.152255808924263,963536.8546539141,client
4,7,0.0018421824788674712,25.838233548655378,0.8985512046308161,19.092574412134883,11.263939980021883,client
4,2,0.0014071626355871558,28.321685721467418,0.948188542785103,21.72976304829837,6962593.891069965,client
4,global,0.0021645103697665036,36.37752487146203,0.903712953286511,25.83478799422835,1226102.7817342791,global
5,8,0.0024265856482088566,38.17679996870637,0.8516796440736564,27.082943492074968,15.875312207441587,client
5,6,0.0021822762209922075,30.831794030469723,0.8625422585066823,21.150008525504703,12.245424735007965,client
5,5,0.002056649187579751,35.59998192274486,0.918917723372314,25.27895112889331,960184.4170170086,client
5,7,0.001771927927620709,25.34075277705246,0.90242006612519,18.664672131597044,10.897819395435846,client
5,3,0.0028476864099502563,40.60978967565495,0.9252526373323989,28.677920459095475,18.18399763468981,client
5,9,0.002957140328362584,47.03835006524423,0.8916854443778245,31.90035578369237,37046.548523798425,client
5,4,0.00129120412748307,31.621329471646117,0.9123715994323515,23.524670931404685,10.145546387186464,client
5,2,0.001319881179369986,27.429277948801982,0.9514022276709921,20.580193594171906,5863427.5565213235,client
5,1,0.0016293278895318508,46.29857987858097,0.909821908942532,32.401957928809786,20.849796924404508,client
5,10,0.0023158667609095573,33.542047249691734,0.9468130864234413,22.014657964484144,3622342.280248929,client
5,global,0.0020798545680008828,35.64887029885934,0.9072906596257384,25.12763319397284,1048308.9000208344,global
